Timestamp,FPS,Status,Score,LockTime,ObjLabel,ObjConf,ObjDist,ObjDirX,ObjDirY,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2
21:18:18,44.77,UNLOCKED,0,0.00,,,,,,,,,
21:18:18,1.43,UNLOCKED,0,0.00,,,,,,,,,
21:18:18,34.02,UNLOCKED,0,0.00,,,,,,,,,
21:18:18,24.97,UNLOCKED,0,0.00,,,,,,,,,
21:18:18,32.93,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,24.21,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.03,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.11,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.34,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.40,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,23.76,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.16,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,25.44,UNLOCKED,0,0.00,FixedWing,0.21,268.64,-212,165,407,501,449,550
21:18:19,22.72,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,24.96,UNLOCKED,0,0.00,FixedWing,0.28,282.58,-217,181,402,515,444,567
21:18:19,22.91,UNLOCKED,0,0.00,FixedWing,0.24,282.69,-212,187,407,520,450,574
21:18:19,24.09,UNLOCKED,0,0.00,,,,,,,,,
21:18:19,22.88,UNLOCKED,0,0.00,FixedWing,0.19,263.87,-181,192,438,525,480,579
21:18:19,24.48,UNLOCKED,0,0.00,FixedWing,0.16,255.78,-169,192,451,526,492,578
21:18:19,24.81,UNLOCKED,0,0.00,FixedWing,0.32,237.12,-152,182,466,517,510,568
21:18:19,21.78,UNLOCKED,0,0.00,FixedWing,0.26,218.19,-138,169,485,506,519,553
21:18:19,24.78,UNLOCKED,0,0.00,FixedWing,0.41,204.01,-124,162,498,497,535,547
21:18:19,23.56,UNLOCKED,0,0.00,FixedWing,0.36,191.82,-117,152,504,488,542,537
21:18:19,24.92,LOCKED,0,0.04,FixedWing,0.41,179.40,-107,144,516,479,551,529
21:18:19,24.90,LOCKED,0,0.08,FixedWing,0.39,169.84,-99,138,524,473,559,523
21:18:19,23.65,LOCKED,0,0.12,FixedWing,0.47,160.59,-90,133,534,469,567,517
21:18:19,21.08,LOCKED,0,0.17,FixedWing,0.38,150.90,-86,124,535,457,573,512
21:18:19,22.89,LOCKED,0,0.21,FixedWing,0.33,149.77,-84,124,537,457,576,511
21:18:19,24.25,LOCKED,0,0.25,FixedWing,0.60,152.01,-82,128,540,462,577,514
21:18:20,24.69,LOCKED,0,0.30,FixedWing,0.47,157.31,-84,133,538,468,574,519
21:18:20,24.16,LOCKED,0,0.34,FixedWing,0.56,161.90,-83,139,539,474,575,525
